URL,Name,Star,Number,AREA
https://www.google.com/maps/place/Plated+Restaurant+and+Bar+Porvorim/data=!4m7!3m6!1s0x3bbfc19af10d91e1:0xc633a2c65ca1b897!8m2!3d15.5148605!4d73.8387576!16s%2Fg%2F11v9yjst6z!19sChIJ4ZEN8ZrBvzsRl7ihXMaiM8Y?authuser=0&hl=en&rclk=1,Plated Restaurant and Bar Porvorim,3.0,82,
https://www.google.com/maps/place/Janvi+Fast+Food+%28Veg%2FNon+Veg%29/data=!4m7!3m6!1s0x3bbfc018ed603919:0x8abb2f5be4f151c4!8m2!3d15.5418722!4d73.8198787!16s%2Fg%2F11fx7ls8_5!19sChIJGTlg7RjAvzsRxFHx5Fsvu4o?authuser=0&hl=en&rclk=1,Janvi Fast Food (Veg/Non Veg),4.3,132,
https://www.google.com/maps/place/Antonia%27s/data=!4m7!3m6!1s0x3bbfc1b29202c09f:0x6163fbcec6673023!8m2!3d15.5209382!4d73.8286831!16s%2Fg%2F11k3ymt33r!19sChIJn8ACkrLBvzsRIzBnxs77Y2E?authuser=0&hl=en&rclk=1,Antonia's,4.3,12,
"https://www.google.com/maps/place/Pizza+Hut+%7C+Porvorim,+Goa/data=!4m7!3m6!1s0x3bbfc19a6e2ad36d:0xf37ea15b3e6a7fb9!8m2!3d15.525662!4d73.827381!16s%2Fg%2F11wn8m2995!19sChIJbdMqbprBvzsRuX9qPluhfvM?authuser=0&hl=en&rclk=1","Pizza Hut | Porvorim, Goa",4.9,109,
https://www.google.com/maps/place/Rasoi+Ghar/data=!4m7!3m6!1s0x3bbfc1f130e49123:0x631a11e1cfa5692f!8m2!3d15.5258891!4d73.8328641!16s%2Fg%2F11n0smp8vv!19sChIJI5HkMPHBvzsRL2mlz-ERGmM?authuser=0&hl=en&rclk=1,Rasoi Ghar,3.0,2,
https://www.google.com/maps/place/Ghoter+authentic+goan+restaurant/data=!4m7!3m6!1s0x3bbfc1fb2892f3c7:0x42707212de9a8bab!8m2!3d15.5269723!4d73.8303092!16s%2Fg%2F11l1mbnxdw!19sChIJx_OSKPvBvzsRq4ua3hJycEI?authuser=0&hl=en&rclk=1,Ghoter authentic goan restaurant,3.6,62,
https://www.google.com/maps/place/Annapurna+Anjali+Multi+Cuisine+Restaurant+and+Bar/data=!4m7!3m6!1s0x3bbfc1f26643e9e5:0x523ba2428b5f8159!8m2!3d15.5297896!4d73.8243549!16s%2Fg%2F11y1_49h92!19sChIJ5elDZvLBvzsRWYFfi0KiO1I?authuser=0&hl=en&rclk=1,Annapurna Anjali Multi Cuisine Restaurant and Bar,4.8,72,
https://www.google.com/maps/place/Royal+Restaurant/data=!4m7!3m6!1s0x3bbfeca855555555:0x24154af397a7e25c!8m2!3d15.5310166!4d73.824766!16s%2Fg%2F1tlgwdlg!19sChIJVVVVVajsvzsRXOKnl_NKFSQ?authuser=0&hl=en&rclk=1,Royal Restaurant,3.7,336,
https://www.google.com/maps/place/E%27Delicious/data=!4m7!3m6!1s0x3bbfc1c1adbf1ee9:0xc0443c8b1629e223!8m2!3d15.5383677!4d73.8202935!16s%2Fg%2F11rx1qds5b!19sChIJ6R6_rcHBvzsRI-IpFos8RMA?authuser=0&hl=en&rclk=1,E'Delicious,5.0,101,
https://www.google.com/maps/place/Sumac+Takeaway/data=!4m7!3m6!1s0x3bbfc1e16a96fd9f:0xd066c4695a1aeb81!8m2!3d15.5168782!4d73.832142!16s%2Fg%2F11rdgwgm6k!19sChIJn_2WauHBvzsRgesaWmnEZtA?authuser=0&hl=en&rclk=1,Sumac Takeaway,4.1,15,
https://www.google.com/maps/place/Rajesh+family+Restaurant+and+Bar/data=!4m7!3m6!1s0x3bbfc1f241daf76d:0x60efc24d93d8383c!8m2!3d15.5389285!4d73.8269011!16s%2Fg%2F11hz1h5wjf!19sChIJbffaQfLBvzsRPDjYk03C72A?authuser=0&hl=en&rclk=1,Rajesh family Restaurant and Bar,4.3,46,
https://www.google.com/maps/place/Kebab+Shop/data=!4m7!3m6!1s0x3bbfc11de64d7cff:0x55b21c15293333a4!8m2!3d15.52565!4d73.8273709!16s%2Fg%2F11t0q4332p!19sChIJ_3xN5h3BvzsRpDMzKRUcslU?authuser=0&hl=en&rclk=1,Kebab Shop,4.1,15,
https://www.google.com/maps/place/Green+Spice+Restaurant/data=!4m7!3m6!1s0x3bbfc172aae1031f:0x40ac3cf9779c8bd0!8m2!3d15.541027!4d73.8205667!16s%2Fg%2F11smfdl3dq!19sChIJHwPhqnLBvzsR0Iucd_k8rEA?authuser=0&hl=en&rclk=1,Green Spice Restaurant,4.7,85,
https://www.google.com/maps/place/Guru+Restaurant/data=!4m7!3m6!1s0x3bbfc1dcbe532635:0xce73b462683fe7c5!8m2!3d15.5239631!4d73.8283493!16s%2Fg%2F11h8vj8zc_!19sChIJNSZTvtzBvzsRxec_aGK0c84?authuser=0&hl=en&rclk=1,Guru Restaurant,4.3,12,
https://www.google.com/maps/place/Vida+cafe+and+restaurant/data=!4m7!3m6!1s0x3bbfc110a66a572b:0x4852050e258c6473!8m2!3d15.5236216!4d73.8343064!16s%2Fg%2F11vxcb5q7n!19sChIJK1dqphDBvzsRc2SMJQ4FUkg?authuser=0&hl=en&rclk=1,Vida cafe and restaurant,4.0,4,
https://www.google.com/maps/place/Biryani+Palace/data=!4m7!3m6!1s0x3bbfc013b028028d:0x6516f884bebfa3b!8m2!3d15.5309443!4d73.8266055!16s%2Fg%2F11b6jbhcwn!19sChIJjQIosBPAvzsRO_rrS4hvUQY?authuser=0&hl=en&rclk=1,Biryani Palace,3.7,526,
https://www.google.com/maps/place/Pan+Asian+Hut/data=!4m7!3m6!1s0x3bbfc06d1e38c46b:0x82f4d2a0c76c8ea1!8m2!3d15.5257279!4d73.8271835!16s%2Fg%2F11c6_bnm1m!19sChIJa8Q4Hm3AvzsRoY5sx6DS9II?authuser=0&hl=en&rclk=1,Pan Asian Hut,3.9,170,
https://www.google.com/maps/place/Marinade+Multicuisine/data=!4m7!3m6!1s0x3bbfc1f51f28fa99:0x3e18be5aea748e6a!8m2!3d15.5180826!4d73.8371935!16s%2Fg%2F11ks47ny45!19sChIJmfooH_XBvzsRao506lq-GD4?authuser=0&hl=en&rclk=1,Marinade Multicuisine,4.8,5,
https://www.google.com/maps/place/CAFE+PORVORIM/data=!4m7!3m6!1s0x3bbfc07055a9c60f:0xb6c16afdc646a099!8m2!3d15.5191292!4d73.832858!16s%2Fg%2F11b6qb53yk!19sChIJD8apVXDAvzsRmaBGxv1qwbY?authuser=0&hl=en&rclk=1,CAFE PORVORIM,3.8,62,
"https://www.google.com/maps/place/Pizza+Hut+%7C+Porvorim,+Goa/data=!4m7!3m6!1s0x3bbfc18504673e35:0x69c8060a870ac554!8m2!3d15.5317341!4d73.8240454!16s%2Fg%2F11ff0w0x0g!19sChIJNT5nBIXBvzsRVMUKhwoGyGk?authuser=0&hl=en&rclk=1","Pizza Hut | Porvorim, Goa",4.2,1470,
https://www.google.com/maps/place/Ritz+Classic-Patto/data=!4m7!3m6!1s0x3bbfc08ed1c835f1:0x1049c650dbf64af3!8m2!3d15.4933879!4d73.8363916!16s%2Fg%2F124sybm39!19sChIJ8TXI0Y7AvzsR80r221DGSRA?authuser=0&hl=en&rclk=1,Ritz Classic-Patto,4.0,7612,
https://www.google.com/maps/place/Chopsticks+Chinese+Takeaway/data=!4m7!3m6!1s0x3bbfc18561633b77:0xeb369a75b163813!8m2!3d15.5311744!4d73.8253926!16s%2Fg%2F124ypjq7y!19sChIJdztjYYXBvzsREzgWW6dpsw4?authuser=0&hl=en&rclk=1,Chopsticks Chinese Takeaway,4.1,399,
https://www.google.com/maps/place/Sojo/data=!4m7!3m6!1s0x3bbfc1b98ea47847:0xad21048ab7d392e8!8m2!3d15.5230043!4d73.829282!16s%2Fg%2F11kplf6vxm!19sChIJR3ikjrnBvzsR6JLTt4oEIa0?authuser=0&hl=en&rclk=1,Sojo,5.0,37,
