Name,Star,Number,AREA,URL,Score
Angels Resort,4.2,4627,GOA,https://www.google.com/maps/place/Angels+Resort/data=!4m10!3m9!1s0x3bbfeca8e2f967d3:0xcc4b2744cf18bfba!5m2!4m1!1i2!8m2!3d15.5360457!4d73.8208793!16s%2Fg%2F1tfdx92w!19sChIJ02f54qjsvzsRur8Yz0QnS8w?authuser=0&hl=en&rclk=1,19433.4
Spicy Family Restaurant & Bar,4.2,4545,GOA,https://www.google.com/maps/place/Spicy+Family+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfb3c1805507bb:0x4174fd00531c2a5a!8m2!3d15.2705605!4d73.9622142!16s%2Fg%2F11c45ltjl8!19sChIJuwdVgMGzvzsRWiocUwD9dEE?authuser=0&hl=en&rclk=1,19089
Ghoomar Traditional Thali Restaurants - Goa,4.7,4038,GOA,https://www.google.com/maps/place/Ghoomar+Traditional+Thali+Restaurants+-+Goa/data=!4m7!3m6!1s0x3bbfc172d904827d:0x6463c266274cd9a2!8m2!3d15.5405855!4d73.8164669!16s%2Fg%2F11tgbwrxp3!19sChIJfYIE2XLBvzsRotlMJ2bCY2Q?authuser=0&hl=en&rclk=1,18978.6
Viva Panjim,4.3,4389,GOA,https://www.google.com/maps/place/Viva+Panjim/data=!4m7!3m6!1s0x3bbfc0859d9b0959:0x3f3da3adedbc0e99!8m2!3d15.4964927!4d73.831189!16s%2Fg%2F1tmpccwl!19sChIJWQmbnYXAvzsRmQ687a2jPT8?authuser=0&hl=en&rclk=1,18872.7
Sheela Restaurant & Bar,4,4664,GOA,https://www.google.com/maps/place/Sheela+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfb869d90c3799:0xfcaf4ddfb312bb40!8m2!3d15.4015133!4d73.8655167!16s%2Fg%2F12613xrk2!19sChIJmTcM2Wm4vzsRQLsSs99Nr_w?authuser=0&hl=en&rclk=1,18656
Kamlabai Sea Food Restaurant,3.8,4710,GOA,https://www.google.com/maps/place/Kamlabai+Sea+Food+Restaurant/data=!4m7!3m6!1s0x3bbfeafd02f54acd:0x842ddef6ebf38035!8m2!3d15.5911819!4d73.8042396!16s%2Fg%2F1vpq59ts!19sChIJzUr1Av3qvzsRNYDz6_beLYQ?authuser=0&hl=en&rclk=1,17898
Edward's Yard,4.3,4022,GOA,https://www.google.com/maps/place/Edward%27s+Yard/data=!4m7!3m6!1s0x3bbfb8e25fc479c7:0xf5e539a7ccd8b372!8m2!3d15.4376408!4d73.8871242!16s%2Fg%2F1q69td99w!19sChIJx3nEX-K4vzsRcrPYzKc55fU?authuser=0&hl=en&rclk=1,17294.6
Smita’s Lakeview Restaurant & Bar |Best Fish Thali And Authentic Goan Food|,4.2,3989,GOA,https://www.google.com/maps/place/Smita%E2%80%99s+Lakeview+Restaurant+%26+Bar+%7CBest+Fish+Thali+And+Authentic+Goan+Food%7C/data=!4m7!3m6!1s0x3bbfb8ea9b3a1cd1:0x4e1765e37ee5e98c!8m2!3d15.4391455!4d73.8676366!16s%2Fg%2F11btvl8nqt!19sChIJ0Rw6m-q4vzsRjOnlfuNlF04?authuser=0&hl=en&rclk=1,16753.8
Tomato's Garden Kitchen And Bar,4.1,4061,GOA,https://www.google.com/maps/place/Tomato%27s+Garden+Kitchen+And+Bar/data=!4m7!3m6!1s0x3bbfc183437c8095:0x9718f891cb564bff!8m2!3d15.51838!4d73.7674431!16s%2Fg%2F11hz2dq8sd!19sChIJlYB8Q4PBvzsR_0tWy5H4GJc?authuser=0&hl=en&rclk=1,16650.1
The Curry House,4.5,3694,GOA,https://www.google.com/maps/place/The+Curry+House/data=!4m7!3m6!1s0x3bbfc142df32e9dd:0x88cfbb3eaf8ea13!8m2!3d15.5049769!4d73.7706432!16s%2Fg%2F11rs0vbnfg!19sChIJ3eky30LBvzsRE-r46rP7jAg?authuser=0&hl=en&rclk=1,16623
