Name,Star,Number,AREA,URL,Score
Tataki - Immersive Asian Dining,4.5,1400,Panaji,https://www.google.com/maps/search/Tataki+-+Immersive+Asian+Dining+Panaji,6300
Fishtail Bar & Restaurant - Best Bar In Vagator Beach Goa,4.4,1400,Chorao,https://www.google.com/maps/search/Fishtail+Bar+%26+Restaurant+-+Best+Bar+In+Vagator+Beach+Goa+Chorao,6160
Dunes Restaurant And Huts,4.4,1400,Naval Base Verem,https://www.google.com/maps/search/Dunes+Restaurant+And+Huts+Naval+Base+Verem,6160
Park Prime Goa,4.4,1400,Panaji,https://www.google.com/maps/search/Park+Prime+Goa+Panaji,6160
Abhilasha Fine-Dine Restaurant,4.7,1300,Tisk (Ponda),https://www.google.com/maps/search/Abhilasha+Fine-Dine+Restaurant+Tisk+%28Ponda%29,6110
Bawarchi Restaurant St Inez panjim,4.6,1300,Panaji,https://www.google.com/maps/search/Bawarchi+Restaurant+St+Inez+panjim+Panaji,5980
Kefi - A Lebanese Café and Bistro and Bar,4.5,1300,Mapusa,https://www.google.com/maps/search/Kefi+-+A+Lebanese+Caf%C3%A9+and+Bistro+and+Bar+Mapusa,5850
Kamal Restaurant Goa,4.1,1400,Bicholim,https://www.google.com/maps/search/Kamal+Restaurant+Goa+Bicholim,5740
1930 Vasco,4.1,1400,Vasco da Gama,https://www.google.com/maps/search/1930+Vasco+Vasco+da+Gama,5740
D LILA veg & nonveg restaurant,3.8,1500,Bicholim,https://www.google.com/maps/search/D+LILA+veg+%26+nonveg+restaurant+Bicholim,5700
Hotel Hill Rock Goa,4.3,1300,Arambol,https://www.google.com/maps/search/Hotel+Hill+Rock+Goa+Arambol,5590
Cafe Ashwini,4.3,1300,Caranzalem,https://www.google.com/maps/search/Cafe+Ashwini+Caranzalem,5590
Kuttikar Bar And Restaurant,4.3,1300,Chorao,https://www.google.com/maps/search/Kuttikar+Bar+And+Restaurant+Chorao,5590
Shri Krishna Pure Veg Restaurant,3.9,1400,"Airport, Dabolim",https://www.google.com/maps/search/Shri+Krishna+Pure+Veg+Restaurant+Airport%2C+Dabolim,5460
Cremeux - Mapusa,3.9,1400,Mapusa,https://www.google.com/maps/search/Cremeux+-+Mapusa+Mapusa,5460
Cafe Bhonsle - Panjim,4.2,1300,Panaji,https://www.google.com/maps/search/Cafe+Bhonsle+-+Panjim+Panaji,5460
Vinanti Restaurant & Bar,4.2,1300,Panaji,https://www.google.com/maps/search/Vinanti+Restaurant+%26+Bar+Panaji,5460
Colors Restaurant & Bar.,4.2,1300,Saligao,https://www.google.com/maps/search/Colors+Restaurant+%26+Bar.+Saligao,5460
Cafe TATO,3.9,1400,Vasco da Gama,https://www.google.com/maps/search/Cafe+TATO+Vasco+da+Gama,5460
FlyDining - GOA,4.9,1100,Bambolim Complex,https://www.google.com/maps/search/FlyDining+-+GOA+Bambolim+Complex,5390
Bora Bora Life,4.1,1300,Naval Base Verem,https://www.google.com/maps/search/Bora+Bora+Life+Naval+Base+Verem,5330
Tilve Bhojanalay,4.1,1300,Tisk (Ponda),https://www.google.com/maps/search/Tilve+Bhojanalay+Tisk+%28Ponda%29,5330
Shimons Falafel,4.8,1100,Arambol,https://www.google.com/maps/search/Shimons+Falafel+Arambol,5280
NANU RESORT ARAMBOL,4.4,1200,Arambol,https://www.google.com/maps/search/NANU+RESORT+ARAMBOL+Arambol,5280
Lemon Chilli,4.8,1100,Chorao,https://www.google.com/maps/search/Lemon+Chilli+Chorao,5280
Mahesh Bar And Restaurant,4.4,1200,Tisk (Ponda),https://www.google.com/maps/search/Mahesh+Bar+And+Restaurant+Tisk+%28Ponda%29,5280
Biryani Streat Safari,4,1300,"Airport, Dabolim",https://www.google.com/maps/search/Biryani+Streat+Safari+Airport%2C+Dabolim,5200
Sheetal Udupi Pure Veg Restaurant,4,1300,Bicholim,https://www.google.com/maps/search/Sheetal+Udupi+Pure+Veg+Restaurant+Bicholim,5200
"This is it Beachfront - Rooms, Cafe & Events",4.3,1200,Arambol,https://www.google.com/maps/search/This+is+it+Beachfront+-+Rooms%2C+Cafe+%26+Events+Arambol,5160
Café Central,4.5,1100,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Central+Caranzalem,4950
Hospedaria Venite Restaurant & Bar,4.4,1100,Chorao,https://www.google.com/maps/search/Hospedaria+Venite+Restaurant+%26+Bar+Chorao,4840
Sweet Nation,4.4,1100,Panaji,https://www.google.com/maps/search/Sweet+Nation+Panaji,4840
Tulsi Cafe,4,1200,Mapusa,https://www.google.com/maps/search/Tulsi+Cafe+Mapusa,4800
Café Bhonsle,4,1200,Tisk (Ponda),https://www.google.com/maps/search/Caf%C3%A9+Bhonsle+Tisk+%28Ponda%29,4800
Prime Rose Goa,4.3,1100,Saligao,https://www.google.com/maps/search/Prime+Rose+Goa+Saligao,4730
"Pizza Hut | Vasco Da Gama, Goa",4.7,1000,Vasco da Gama,https://www.google.com/maps/search/Pizza+Hut+%7C+Vasco+Da+Gama%2C+Goa+Vasco+da+Gama,4700
Heart Beat Family Multi Cuisine Restaurant,3.9,1200,Mapusa,https://www.google.com/maps/search/Heart+Beat+Family+Multi+Cuisine+Restaurant+Mapusa,4680
"Pan Aroma Restaurant | Best Restaurant in Ponda, Goa",3.9,1200,Tisk (Ponda),https://www.google.com/maps/search/Pan+Aroma+Restaurant+%7C+Best+Restaurant+in+Ponda%2C+Goa+Tisk+%28Ponda%29,4680
Arambol Mountain,4.6,1000,Arambol,https://www.google.com/maps/search/Arambol+Mountain+Arambol,4600
Sagar View Restaurant,3.8,1200,Caranzalem,https://www.google.com/maps/search/Sagar+View+Restaurant+Caranzalem,4560
Appetite Classic,3.8,1200,Mapusa,https://www.google.com/maps/search/Appetite+Classic+Mapusa,4560
New Walke Food Station,3.5,1300,Mapusa,https://www.google.com/maps/search/New+Walke+Food+Station+Mapusa,4550
George Restaurant & Bar,4.1,1100,Panaji,https://www.google.com/maps/search/George+Restaurant+%26+Bar+Panaji,4510
Legacy of Bombay pure veg restaurant,4.1,1100,Panaji,https://www.google.com/maps/search/Legacy+of+Bombay+pure+veg+restaurant+Panaji,4510
"Miri | Global Fusion Dining | Miramar, Panjim",4.6,962,Caranzalem,https://www.google.com/maps/search/Miri+%7C+Global+Fusion+Dining+%7C+Miramar%2C+Panjim+Caranzalem,4425.2
Buddha Tasty Family Bar & Restaurant & Hotel Arambol,4.6,961,Arambol,https://www.google.com/maps/search/Buddha+Tasty+Family+Bar+%26+Restaurant+%26+Hotel+Arambol+Arambol,4420.6
Amboli Spice Fly Restaurant & Bar,4,1100,Panaji,https://www.google.com/maps/search/Amboli+Spice+Fly+Restaurant+%26+Bar+Panaji,4400
LAXMI BAR & RESTAURANT,4,1100,Tisk (Ponda),https://www.google.com/maps/search/LAXMI+BAR+%26+RESTAURANT+Tisk+%28Ponda%29,4400
Ping's Bia Hoi,4.4,985,Saligao,https://www.google.com/maps/search/Ping%27s+Bia+Hoi+Saligao,4334
Down the road,4.3,1000,Panaji,https://www.google.com/maps/search/Down+the+road+Panaji,4300
Bombay Shivsagar Veg Restaurant,3.9,1100,Panaji,https://www.google.com/maps/search/Bombay+Shivsagar+Veg+Restaurant+Panaji,4290
Udupi Hotel Pure Vegetarian,3.9,1100,Vasco da Gama,https://www.google.com/maps/search/Udupi+Hotel+Pure+Vegetarian+Vasco+da+Gama,4290
Saz on the Beach,4.2,1000,Arambol,https://www.google.com/maps/search/Saz+on+the+Beach+Arambol,4200
Hotel Le Jardin,4.2,1000,Mapusa,https://www.google.com/maps/search/Hotel+Le+Jardin+Mapusa,4200
Chhatrapati Pure Veg Family Restaurant,4.2,1000,Tisk (Ponda),https://www.google.com/maps/search/Chhatrapati+Pure+Veg+Family+Restaurant+Tisk+%28Ponda%29,4200
Gagan's Restaurant,4.4,953,Naval Base Verem,https://www.google.com/maps/search/Gagan%27s+Restaurant+Naval+Base+Verem,4193.2
Cafe Tato Panjim Church,4.3,974,Panaji,https://www.google.com/maps/search/Cafe+Tato+Panjim+Church+Panaji,4188.2
Kinara Restaurant,4.2,997,Arambol,https://www.google.com/maps/search/Kinara+Restaurant+Arambol,4187.4
Adarsh Restaurant,3.8,1100,Vasco da Gama,https://www.google.com/maps/search/Adarsh+Restaurant+Vasco+da+Gama,4180
Eat Pure Veg. Family Restaurant-goa,4.1,1000,Saligao,https://www.google.com/maps/search/Eat+Pure+Veg.+Family+Restaurant-goa+Saligao,4100
Lioloco The Bistro,4.6,891,Mapusa,https://www.google.com/maps/search/Lioloco+The+Bistro+Mapusa,4098.6
Petisco- Kitchen & Bar,4.6,864,Panaji,https://www.google.com/maps/search/Petisco-+Kitchen+%26+Bar+Panaji,3974.4
Swati Hotel,4.3,895,Arambol,https://www.google.com/maps/search/Swati+Hotel+Arambol,3848.5
Krishna Bar & Restaurant,4,936,Arambol,https://www.google.com/maps/search/Krishna+Bar+%26+Restaurant+Arambol,3744
The Rooster,4.2,891,Vasco da Gama,https://www.google.com/maps/search/The+Rooster+Vasco+da+Gama,3742.2
Heera Classic Kitchen & Bar,4.1,912,Mapusa,https://www.google.com/maps/search/Heera+Classic+Kitchen+%26+Bar+Mapusa,3739.2
Boshan Hotels,3.9,941,Mapusa,https://www.google.com/maps/search/Boshan+Hotels+Mapusa,3669.9
Cremeux - Miramar,4.3,852,Caranzalem,https://www.google.com/maps/search/Cremeux+-+Miramar+Caranzalem,3663.6
The Brasserie,4.3,851,Caranzalem,https://www.google.com/maps/search/The+Brasserie+Caranzalem,3659.3
MANJUNATH AIRLOUNGE,3.3,1100,"Airport, Dabolim",https://www.google.com/maps/search/MANJUNATH+AIRLOUNGE+Airport%2C+Dabolim,3630
Aflatoon Hotel,4,907,Mapusa,https://www.google.com/maps/search/Aflatoon+Hotel+Mapusa,3628
Nandan Pure Veg Restaurant,3.9,930,Panaji,https://www.google.com/maps/search/Nandan+Pure+Veg+Restaurant+Panaji,3627
Savor Restaurant & Bar,3.9,929,Tisk (Ponda),https://www.google.com/maps/search/Savor+Restaurant+%26+Bar+Tisk+%28Ponda%29,3623.1
Myles High Bakehouse,4.3,839,Panaji,https://www.google.com/maps/search/Myles+High+Bakehouse+Panaji,3607.7
Kashi Dairy veg restaurant,3.8,926,Vasco da Gama,https://www.google.com/maps/search/Kashi+Dairy+veg+restaurant+Vasco+da+Gama,3518.8
Bhumiputra Resturant and Bar,4.1,843,Naval Base Verem,https://www.google.com/maps/search/Bhumiputra+Resturant+and+Bar+Naval+Base+Verem,3456.3
Hotel Anandashram,4.2,817,Panaji,https://www.google.com/maps/search/Hotel+Anandashram+Panaji,3431.4
Kokum Curry Panjim,4.4,771,Panaji,https://www.google.com/maps/search/Kokum+Curry+Panjim+Panaji,3392.4
Godinho Bar and Restaurant,4.2,804,Panaji,https://www.google.com/maps/search/Godinho+Bar+and+Restaurant+Panaji,3376.8
Prana Mandrem,4.3,775,Arambol,https://www.google.com/maps/search/Prana+Mandrem+Arambol,3332.5
The Temptation Dabolim - 24x7 Complete Food Shop,4.1,812,"Airport, Dabolim",https://www.google.com/maps/search/The+Temptation+Dabolim+-+24x7+Complete+Food+Shop+Airport%2C+Dabolim,3329.2
Martin's Place,4.5,723,Bicholim,https://www.google.com/maps/search/Martin%27s+Place+Bicholim,3253.5
Sandeep Ross Omelette,3.9,818,Panaji,https://www.google.com/maps/search/Sandeep+Ross+Omelette+Panaji,3190.2
Café Ave Maria- Taleigao,4,797,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Ave+Maria-+Taleigao+Caranzalem,3188
Preeti Udupi Restaurant,3.6,885,Naval Base Verem,https://www.google.com/maps/search/Preeti+Udupi+Restaurant+Naval+Base+Verem,3186
Greenyard Restaurant & Bar,4,796,Caranzalem,https://www.google.com/maps/search/Greenyard+Restaurant+%26+Bar+Caranzalem,3184
Schandis Restaurant,4.4,720,Caranzalem,https://www.google.com/maps/search/Schandis+Restaurant+Caranzalem,3168
Cafe S. F. Xavier,4,790,Mapusa,https://www.google.com/maps/search/Cafe+S.+F.+Xavier+Mapusa,3160
Cafe Antruz Mahal,3.8,821,Tisk (Ponda),https://www.google.com/maps/search/Cafe+Antruz+Mahal+Tisk+%28Ponda%29,3119.8
