Name,Star,Number,AREA,URL,Score,ID
Aangan Restaurant,4.6,1600,Caranzalem,https://www.google.com/maps/search/Aangan+Restaurant+Caranzalem,7360,20250205190230_96
Cafe Ritz Restaurant & Bar,4.3,1700,Panaji,https://www.google.com/maps/search/Cafe+Ritz+Restaurant+%26+Bar+Panaji,7310,20250205190248_97
Evergreen Restaurant 1975,4.8,1500,Panaji,https://www.google.com/maps/search/Evergreen+Restaurant+1975+Panaji,7200,20250205190315_98
La Cucina,4.4,1600,Arambol,https://www.google.com/maps/search/La+Cucina+Arambol,7040,20250205190341_99
Udupi Shree Sagar Pure Veg Restaurant,3.7,1900,Saligao,https://www.google.com/maps/search/Udupi+Shree+Sagar+Pure+Veg+Restaurant+Saligao,7030,20250205190425_100
Domino's Pizza - Mapusa,3.9,1800,Mapusa,https://www.google.com/maps/search/Domino%27s+Pizza+-+Mapusa+Mapusa,7020,20250205190445_101
Cream Choc Gelato,4.6,1500,Caranzalem,https://www.google.com/maps/search/Cream+Choc+Gelato+Caranzalem,6900,20250205190502_102
Domino's Pizza,3.8,1800,Vasco da Gama,https://www.google.com/maps/search/Domino%27s+Pizza+Vasco+da+Gama,6840,20250205190522_103
Jardin D'ulysse,4.5,1500,Chorao,https://www.google.com/maps/search/Jardin+D%27ulysse+Chorao,6750,20250205190539_104
Shalimar Restaurant,3.7,1800,Panaji,https://www.google.com/maps/search/Shalimar+Restaurant+Panaji,6660,20250205190615_105
Cafe Food Planet,4.3,1500,Arambol,https://www.google.com/maps/search/Cafe+Food+Planet+Arambol,6450,20250205190702_106
Saiba bar and restaurant(evening beautiful),4.3,1500,Mapusa,https://www.google.com/maps/search/Saiba+bar+and+restaurant%28evening+beautiful%29+Mapusa,6450,20250205190749_107
Lavish Bar & Restaurant,4,1600,Arambol,https://www.google.com/maps/search/Lavish+Bar+%26+Restaurant+Arambol,6400,20250205190815_108
The Goan Majestic,4,1600,Tisk (Ponda),https://www.google.com/maps/search/The+Goan+Majestic+Tisk+%28Ponda%29,6400,20250205190832_109
Vasco Square Restaurant,4,1600,Vasco da Gama,https://www.google.com/maps/search/Vasco+Square+Restaurant+Vasco+da+Gama,6400,20250205190851_110
Grand Vatika Resort,4.5,1400,Arambol,https://www.google.com/maps/search/Grand+Vatika+Resort+Arambol,6300,20250205190913_111
The Crown Goa,4.2,1500,Chorao,https://www.google.com/maps/search/The+Crown+Goa+Chorao,6300,20250205190948_112
Tataki - Immersive Asian Dining,4.5,1400,Panaji,https://www.google.com/maps/search/Tataki+-+Immersive+Asian+Dining+Panaji,6300,20250205191022_113
Fishtail Bar & Restaurant - Best Bar In Vagator Beach Goa,4.4,1400,Chorao,https://www.google.com/maps/search/Fishtail+Bar+%26+Restaurant+-+Best+Bar+In+Vagator+Beach+Goa+Chorao,6160,20250205191240_114
Dunes Restaurant And Huts,4.4,1400,Naval Base Verem,https://www.google.com/maps/search/Dunes+Restaurant+And+Huts+Naval+Base+Verem,6160,20250205191300_115
Park Prime Goa,4.4,1400,Panaji,https://www.google.com/maps/search/Park+Prime+Goa+Panaji,6160,20250205191318_116
Abhilasha Fine-Dine Restaurant,4.7,1300,Tisk (Ponda),https://www.google.com/maps/search/Abhilasha+Fine-Dine+Restaurant+Tisk+%28Ponda%29,6110,20250205191350_117
Bawarchi Restaurant St Inez panjim,4.6,1300,Panaji,https://www.google.com/maps/search/Bawarchi+Restaurant+St+Inez+panjim+Panaji,5980,20250205191408_118
Kefi - A Lebanese Café and Bistro and Bar,4.5,1300,Mapusa,https://www.google.com/maps/search/Kefi+-+A+Lebanese+Caf%C3%A9+and+Bistro+and+Bar+Mapusa,5850,20250205191427_119
Kamal Restaurant Goa,4.1,1400,Bicholim,https://www.google.com/maps/search/Kamal+Restaurant+Goa+Bicholim,5740,20250205191448_120
