URL,Name,Star,Number,AREA,Score,ID
https://www.google.com/maps/place/De+Baga+Deck+Restaurant+%26+Bar/data=!4m10!3m9!1s0x3bbfea05bd61b8fb:0xeff0bd8a43e8a85c!5m2!4m1!1i2!8m2!3d15.5529133!4d73.7579229!16s%2Fg%2F11b6gn75gl!19sChIJ-7hhvQXqvzsRXKjoQ4q98O8?authuser=0&hl=en&rclk=1,De Baga Deck Restaurant & Bar,4.3,6241,Corlim Ind. Estate,26836.3,9b8697064b729c4495cb0d44b7a75e6a
https://www.google.com/maps/place/Pentagon+Restaurant+%26+Garden+Pub/data=!4m7!3m6!1s0x3bbfb6e94d7af04f:0xf2e489d685310653!8m2!3d15.3125465!4d73.9067583!16s%2Fg%2F11r9w3v1t!19sChIJT_B6Tem2vzsRUwYxhdaJ5PI?authuser=0&hl=en&rclk=1,Pentagon Restaurant & Garden Pub,4.3,6058,Bogmalo,26049.4,ceaca740db4e20f469cbfba833f15076
https://www.google.com/maps/place/SALT+BAR+AND+RESTAURANT/data=!4m7!3m6!1s0x3bbfea3c2eb23811:0x49a38660298d4529!8m2!3d15.5717282!4d73.7648971!16s%2Fg%2F11c2nh8fbp!19sChIJETiyLjzqvzsRKUWNKWCGo0k?authuser=0&hl=en&rclk=1,SALT BAR AND RESTAURANT,4.2,6170,Arpora,25914.0,aac3c20908ec858c13d220a423862887
https://www.google.com/maps/place/Sher-E-Punjab+Goa/data=!4m7!3m6!1s0x3bbfc08ec443d519:0xf2c555a417d5abbe!8m2!3d15.497947!4d73.826108!16s%2Fg%2F11bwf82_f3!19sChIJGdVDxI7AvzsRvqvVF6RVxfI?authuser=0&hl=en&rclk=1,Sher-E-Punjab Goa,4.2,5770,Goa Velha,24234.0,9d1477354fb5f7233ce1fdf6aea1be35
https://www.google.com/maps/place/Sterling+Goa+Varca/data=!4m7!3m6!1s0x3bbfb37b9e4ee3f3:0x137f8384c54c800a!8m2!3d15.2262594!4d73.93433!16s%2Fg%2F11g7295kc7!19sChIJ8-NOnnuzvzsRCoBMxYSDfxM?authuser=0&hl=en&rclk=1,Sterling Goa Varca,4.2,5736,Orlim,24091.2,abcee4ab095555ac415a486d43c52a98
https://www.google.com/maps/place/Gunpowder/data=!4m7!3m6!1s0x3bbfebac0a954d91:0xa148cf0b9e80734a!8m2!3d15.5969557!4d73.788323!16s%2Fg%2F1hg4_xb40!19sChIJkU2VCqzrvzsRSnOAngvPSKE?authuser=0&hl=en&rclk=1,Gunpowder,4.5,5278,Tivim,23751.0,20250205231010_40
https://www.google.com/maps/place/Spice+Goa/data=!4m7!3m6!1s0x3bbfeb3c0b99d105:0xb8087a520922a405!8m2!3d15.6111845!4d73.8239525!16s%2Fg%2F1tdflqfl!19sChIJBdGZCzzrvzsRBaQiCVJ6CLg?authuser=0&hl=en&rclk=1,Spice Goa,4.4,5300,Tivim,23320.0,20250205231029_41
https://www.google.com/maps/place/The+Bodhi+Tree+Cafe+and+Bar/data=!4m7!3m6!1s0x3bbfe9f0ed59568b:0xb1abbdc6a0844a28!8m2!3d15.6179407!4d73.7375857!16s%2Fg%2F11p5t3tg2_!19sChIJi1ZZ7fDpvzsRKEqEoMa9q7E?authuser=0&hl=en&rclk=1,The Bodhi Tree Cafe and Bar,4.8,4613,Mandrem,22142.4,20250205231045_42
https://www.google.com/maps/place/Hotel+Anantashram/data=!4m7!3m6!1s0x3bbfc7bc7e50f927:0x319f14d19a10feef!8m2!3d15.3981767!4d73.8127935!16s%2Fg%2F124yjm7mt!19sChIJJ_lQfrzHvzsR7_4QmtEUnzE?authuser=0&hl=en&rclk=1,Hotel Anantashram,4.1,5266,Mormugao,21590.6,c2e82333ad067b0cd9e988fa7937484d
https://www.google.com/maps/place/Peep+Kitchen/data=!4m7!3m6!1s0x3bbfc0ce203eb53b:0x97ac229950cb0d!8m2!3d15.4701468!4d73.8260554!16s%2Fg%2F1hm4z2npp!19sChIJO7U-IM7AvzsRDctQmSKslwA?authuser=0&hl=en&rclk=1,Peep Kitchen,4.4,4673,Bambolim Camp,20561.2,58d7e73f10518bf39c32290db5bc4ac8
